School,Standard Score,District,City,Zip,County,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes
Scotts Valley High,91.3,Scotts Valley Unified,Scotts Valley,95066,Santa Cruz County,No,No,No,No,818,36.9,22.1,0.1,0.01,0.01,0.07,0.14,0,0.08,0.7
Whitmore Charter High,91.1,Ceres Unified,Ceres,95307,Stanislaus County,No,Yes,No,No,142,9.6,14.7,0.27,0.01,0.01,0.1,0.32,0,0.06,0.51
Buchanan High,91.1,Clovis Unified,Clovis,93611,Fresno County,No,No,No,No,2726,109.7,24.8,0.3,0.03,0.01,0.14,0.29,0,0.03,0.5
Del Lago Academy - Campus of Applied Science,90.9,Escondido Union High,Escondido,92029,San Diego County,Yes,No,Yes,No,822,32,25.6,0.53,0.02,0,0.09,0.61,0,0.01,0.28
San Dieguito High School Academy,90.9,San Dieguito Union High,Encinitas,92024,San Diego County,No,No,No,No,1850,74.6,24.7,0.15,0,0,0.05,0.21,0,0.04,0.7
John A. Rowland High,90.9,Rowland Unified,Rowland Heights,91748,Los Angeles County,No,No,No,No,2017,79,25.5,0.63,0.01,0,0.51,0.42,0,0.02,0.03
Granada Hills Charter,90.8,Granada Hills Charter District,Granada Hills,91344,Los Angeles County,Yes,Yes,No,No,4698,179.4,26.1,0.52,0.04,0,0.27,0.4,0,0.03,0.26
EDUHSD Virtual Academy at Shenandoah,90.8,El Dorado Union High,El Dorado,95623,El Dorado County,No,Yes,No,Yes,110,4.5,24.4,0.14,0,0.01,0.01,0.13,0,0.09,0.76
Westmont High,90.7,Campbell Union High,Campbell,95008,Santa Clara County,No,No,No,No,1601,69.1,23.1,0.27,0.02,0,0.21,0.29,0.01,0.08,0.39
Reedley Middle College High,90.7,Kings Canyon Joint Unified,Reedley,93654,Fresno County,Yes,Yes,No,No,205,6.7,30.5,0.74,0,0.01,0.01,0.82,0,0.02,0.16
University City High,90.6,San Diego Unified,San Diego,92122,San Diego County,No,No,No,No,1838,69.8,26.3,0.4,0.02,0,0.16,0.37,0,0.08,0.36
Tamalpais High,90.6,Tamalpais Union High,Mill Valley,94941,Marin County,Yes,No,No,No,1591,85.1,18.6,0.1,0.03,0,0.09,0.1,0.01,0.08,0.69
Burlingame High,90.6,San Mateo Union High,Burlingame,94010,San Mateo County,Yes,No,No,No,1492,73,20.4,0.12,0.01,0,0.24,0.17,0.01,0.54,0.03
Guajome Park Academy Charter,90.6,Guajome Park Academy Charter District,Vista,92083,San Diego County,Yes,Yes,No,No,1416,70.5,20,0.58,0.01,0.01,0.03,0.65,0,0.08,0.23
Aspire Benjamin Holt College Preparatory Academy,90.5,Aspire Benjamin Holt College Preparatory Academy District,Stockton,95212,San Joaquin County,Yes,Yes,No,No,462,11.9,38.6,0.46,0.05,0.01,0.29,0.41,0.01,0.05,0.18
South High,90.4,Torrance Unified,Torrance,90505,Los Angeles County,No,No,No,No,2074,90,23,0.18,0.03,0,0.35,0.18,0,0.07,0.37
Bonita High,90.1,Bonita Unified,La Verne,91750,Los Angeles County,No,No,No,No,1923,74.6,25.7,0.32,0.02,0,0.07,0.5,0,0.1,0.3
Temple City High,89.9,Temple City Unified,Temple City,91780,Los Angeles County,No,No,No,No,1949,80.2,24.3,0.39,0,0,0.69,0.2,0,0.03,0.09
Santa Cruz High,89.9,Santa Cruz City High,Santa Cruz,95060,Santa Cruz County,No,No,Yes,No,1142,46.2,24.6,0.32,0.02,0,0.04,0.29,0,0.08,0.57
Orcutt Academy Charter,89.8,Orcutt Union Elementary,Orcutt,93455,Santa Barbara County,No,Yes,No,No,787,33.7,23.3,0.27,0.01,0.01,0.05,0.38,0.01,0.06,0.49
Literacy First Charter,89.8,Literacy First Charter District,El Cajon,92020,San Diego County,(n/a),Yes,No,No,1678,80.5,20.8,0.4,0.03,0,0.33,0.25,0,0.04,0.36
Gabrielino High,89.8,San Gabriel Unified,San Gabriel,91776,Los Angeles County,No,No,No,No,1696,71.5,23.7,0.56,0.01,0,0.59,0.33,0,0.03,0.04
Sir Francis Drake High,89.7,Tamalpais Union High,San Anselmo,94960,Marin County,Yes,No,No,No,1301,70.9,18.3,0.11,0.01,0,0.04,0.13,0.01,0.06,0.75
Washington High,89.5,Fremont Unified,Fremont,94536,Alameda County,Yes,No,No,No,1918,84.6,22.6,0.3,0.03,0,0.48,0.23,0.01,0.04,0.2
San Juan Hills High,89.5,Capistrano Unified,San Juan Capistrano,92675,Orange County,No,No,No,No,2671,97.5,27.3,0.28,0.01,0,0.06,0.33,0,0.05,0.55
Silver Creek High,89.4,East Side Union High,San Jose,95121,Santa Clara County,Yes,No,Yes,No,2435,105.9,22.9,0.39,0.02,0,0.59,0.33,0.01,0.01,0.04
Mission Early College High,89.4,Santa Clara Unified,Santa Clara,95054,Santa Clara County,No,No,No,No,101,,,0.44,0.08,0,0.26,0.33,0,0.13,0.21
El Toro High,89.3,Saddleback Valley Unified,Lake Forest,92630,Orange County,No,No,Yes,No,2352,94.1,24.9,0.3,0.02,0,0.13,0.36,0,0.05,0.44
Newbury Park High,89.3,Conejo Valley Unified,Newbury Park,91320,Ventura County,No,No,No,No,2427,100.5,24.1,0.2,0.01,0,0.11,0.23,0,0.03,0.61
William S. Hart High,89.1,William S. Hart Union High,Newhall,91321,Los Angeles County,Yes,No,No,No,2218,95.9,23.1,0.39,0.02,0,0.06,0.51,0,0.03,0.39
Escondido Charter High,89.1,Escondido Charter High District,Escondido,92027,San Diego County,(n/a),Yes,No,No,856,50.7,16.8,0.41,0.03,0,0.09,0.42,0,0.05,0.41
Connections Visual and Performing Arts Academy,89.1,Summerville Union High,Tuolumne,95379,Tuolumne County,No,Yes,No,No,236,24.7,9.5,0.11,0.01,0.03,0.02,0.14,0,0.05,0.75
Middle College High,88.9,West Contra Costa Unified,San Pablo,94806,Contra Costa County,No,No,No,No,288,10,28.8,0.54,0.13,0,0.25,0.52,0.01,0.01,0.08
Sunny Hills High,88.9,Fullerton Joint Union High,Fullerton,92833,Orange County,No,No,Yes,No,2304,78.4,29.3,0.35,0.01,0,0.46,0.33,0,0.03,0.17
Menlo-Atherton High,88.9,Sequoia Union High,Atherton,94025,San Mateo County,Yes,No,No,No,2498,128.3,19.4,0.39,0.05,0,0.07,0.41,0.05,0.04,0.39
Beverly Hills High,88.9,Beverly Hills Unified,Beverly Hills,90212,Los Angeles County,No,No,No,No,1384,79,17.5,0.17,0.03,0,0.12,0.1,0,0.03,0.71
Canyon High,88.9,Orange Unified,Anaheim,92807,Orange County,No,No,No,No,2195,91.7,23.9,0.16,0.02,0,0.23,0.21,0,0.04,0.5
Inspire School of Arts and Sciences,88.9,Inspire School of Arts and Sciences District,Chico,95926,Butte County,(n/a),Yes,No,No,444,20.9,21.1,0.34,0.02,0.02,0.01,0.13,0.01,0.09,0.73
Palisades Charter High,88.8,Palisades Charter High District,Pacific Palisades,90272,Los Angeles County,Yes,Yes,Yes,No,2964,131.7,22.4,0.32,0.12,0,0.09,0.19,0,0,0.59
Castro Valley High,88.8,Castro Valley Unified,Castro Valley,94546,Alameda County,No,No,No,No,2834,125.6,22.5,0.22,0.06,0,0.32,0.24,0.01,0.1,0.28
Claremont High,88.7,Claremont Unified,Claremont,91711,Los Angeles County,No,No,No,No,2357,94.7,24.8,0.32,0.04,0,0.12,0.4,0,0.08,0.35
Mendocino High,88.7,Mendocino Unified,Mendocino,95460,Mendocino County,Yes,No,Yes,No,174,15.9,10.9,0.33,0.01,0.02,0.03,0.09,0.01,0.05,0.79
Brea Olinda High,88.7,Brea-Olinda Unified,Brea,92821,Orange County,No,No,No,No,1794,67.1,26.7,0.3,0.02,0,0.25,0.35,0,0.02,0.35
Rancho Campana High,88.6,Oxnard Union High,Camarillo,93010,Ventura County,No,No,No,No,742,29.8,24.8,0.15,0.01,0,0.12,0.3,0,0.07,0.51
Maria Carrillo High,88.6,Santa Rosa High,Santa Rosa,95409,Sonoma County,No,No,No,No,1462,63.7,22.9,0.2,0.02,0,0.12,0.27,0,0.08,0.51
East Bay Innovation Academy,88.6,East Bay Innovation Academy District,Oakland,94605,Alameda County,Yes,Yes,No,No,562,23.7,23.7,0.25,0.21,0.01,0.07,0.28,0.01,0.13,0.31
Redlands Senior High,88.5,Redlands Unified,Redlands,92374,San Bernardino County,No,No,No,No,2302,93.8,24.5,0.51,0.06,0,0.21,0.41,0,0.04,0.28
Crescenta Valley High,88.5,Glendale Unified,La Crescenta,91214,Los Angeles County,No,No,No,No,2608,104.4,24.9,0.26,0.01,0,0.29,0.14,0,0.03,0.53
San Ramon Valley High,88.5,San Ramon Valley Unified,Danville,94526,Contra Costa County,No,No,No,No,2094,87.7,23.8,0.04,0.01,0,0.09,0.1,0,0.07,0.74
Alhambra Senior High,88.5,Martinez Unified,Martinez,94553,Contra Costa County,No,No,No,No,1232,54.8,22.4,0.22,0.03,0,0.09,0.3,0,0.11,0.48
Olympian High,88.4,Sweetwater Union High,Chula Vista,91913,San Diego County,No,No,No,No,2476,101.3,24.4,0.27,0.06,0,0.24,0.55,0.01,0.09,0.07
SLVUSD Charter,88.4,San Lorenzo Valley Unified,Felton,95018,Santa Cruz County,No,Yes,No,No,293,13.3,22,0.17,0.01,0,0,0.08,0,0.14,0.78
Pacifica High,88.4,Garden Grove Unified,Garden Grove,92845,Orange County,Yes,No,No,No,1643,67.5,24.3,0.36,0.01,0,0.29,0.32,0,0.02,0.35
Branham High,88.3,Campbell Union High,San Jose,95118,Santa Clara County,No,No,No,No,1802,72.5,24.8,0.17,0.02,0.01,0.2,0.28,0.01,0.02,0.47
Glendora High,88.3,Glendora Unified,Glendora,91741,Los Angeles County,No,No,No,No,2381,95.3,24.9,0.26,0.01,0,0.1,0.43,0,0.04,0.42
School of Engineering & Sciences,88.2,Sacramento City Unified,Sacramento,95831,Sacramento County,Yes,No,No,No,531,22,24.1,0.69,0.17,0,0.21,0.42,0.02,0.06,0.13
Alliance Judy Ivie Burton Technology Academy High,88.1,Alliance Judy Ivie Burton Technology Academy High District,Los Angeles,90003,Los Angeles County,Yes,Yes,No,No,605,29.6,20.3,0.99,0.03,0,0,0.96,0,0,0.01
Poway High,88.1,Poway Unified,Poway,92064,San Diego County,No,No,No,No,2253,85.1,26.4,0.26,0.02,0,0.09,0.25,0.01,0.07,0.57
Eastlake High,88.1,Sweetwater Union High,Chula Vista,91915,San Diego County,No,No,No,No,2908,117.9,24.6,0.22,0.04,0,0.18,0.56,0,0.09,0.14
Cosumnes Oaks High,88.1,Elk Grove Unified,Elk Grove,95757,Sacramento County,No,No,No,No,2207,98.8,22.3,0.31,0.15,0,0.29,0.23,0.01,0.09,0.23
Ernest S. McBride Senior High,88,Long Beach Unified,Long Beach,90808,Los Angeles County,No,No,Yes,No,744,27.2,27.3,0.5,0.08,0,0.12,0.45,0.01,0.1,0.23
Fremont High,88,Fremont Union High,Sunnyvale,94087,Santa Clara County,(n/a),No,No,No,2081,95.9,21.6,0.31,0.02,0,0.33,0.4,0.01,0.06,0.19
High Technical LA,88,High Technical LA District,Lake Balboa,91406,Los Angeles County,Yes,Yes,No,No,401,13,30.8,0.45,0.02,0,0.08,0.33,0,0.03,0.53
Glen A. Wilson High,87.9,Hacienda la Puente Unified,Hacienda Heights,91745,Los Angeles County,Yes,No,No,No,1491,59.8,24.9,0.57,0.01,0,0.38,0.54,0,0.02,0.06
Mira Mesa High,87.7,San Diego Unified,San Diego,92126,San Diego County,Yes,No,No,No,2400,90.6,26.4,0.44,0.05,0,0.47,0.22,0.01,0.12,0.13
Clayton Valley Charter High,87.7,Clayton Valley Charter High District,Concord,94521,Contra Costa County,(n/a),Yes,No,No,2196,79.6,27.5,0.21,0.04,0,0.14,0.22,0.01,0.11,0.48
Bella Vista High,87.7,San Juan Unified,Fair Oaks,95628,Sacramento County,No,No,No,No,2025,79.9,25.3,0.27,0.02,0.01,0.05,0.18,0,0.07,0.66
Aragon High,87.6,San Mateo Union High,San Mateo,94402,San Mateo County,Yes,No,No,No,1675,78.7,21.2,0.23,0.01,0,0.28,0.27,0.04,0.34,0.05
Santa Teresa High,87.6,East Side Union High,San Jose,95123,Santa Clara County,No,No,Yes,No,2145,91.9,23.3,0.21,0.03,0,0.27,0.39,0,0.06,0.25
Clovis East High,87.6,Clovis Unified,Clovis,93611,Fresno County,No,No,No,No,2567,103.2,24.8,0.52,0.02,0.01,0.3,0.41,0,0.01,0.25
Saint Helena High,87.6,Saint Helena Unified,Saint Helena,94574,Napa County,No,No,No,No,497,32.8,15.1,0.34,0.01,0.01,0.01,0.44,0,0,0.54
Pioneer High,87.5,San Jose Unified,San Jose,95118,Santa Clara County,No,No,No,No,1600,65.9,24.2,0.25,0.03,0,0.16,0.32,0.01,0.04,0.44
El Dorado High,87.4,Placentia-Yorba Linda Unified,Placentia,92870,Orange County,No,No,Yes,No,1990,79.4,25,0.26,0.01,0,0.13,0.35,0,0.04,0.47
Ocean Grove Charter,87.4,Ocean Grove Charter District,Boulder Creek,95006,Santa Cruz County,Yes,Yes,No,No,2630,108.7,24.1,0.2,0.01,0,0.08,0.23,0.01,0.18,0.49
Dana Hills High,87.4,Capistrano Unified,Dana Point,92629,Orange County,No,No,No,No,2397,96.4,24.8,0.26,0.01,0,0.04,0.29,0,0.06,0.61
Central Coast New Technical High,87.4,Lucia Mar Unified,Nipomo,93444,San Luis Obispo County,Yes,No,No,No,306,19.8,15.4,0.37,0.01,0.01,0.04,0.28,0,0.05,0.61
Marina High,87.2,Huntington Beach Union High,Huntington Beach,92649,Orange County,No,No,No,No,2443,98,24.9,0.28,0.01,0,0.22,0.23,0,0.06,0.47
Los Osos High,87.1,Chaffey Joint Union High,Rancho Cucamonga,91737,San Bernardino County,No,No,No,No,3052,123.2,24.7,0.34,0.07,0.01,0.2,0.36,0.01,0.02,0.34
Six Rivers Charter High,87.1,Northern Humboldt Union High,Arcata,95521,Humboldt County,Yes,Yes,No,No,96,4.2,22.8,0.48,0.01,0.06,0.02,0.07,0,0.07,0.76
Canyon High,87.1,William S. Hart Union High,Canyon Country,91351,Los Angeles County,Yes,No,No,No,2109,88.6,23.7,0.41,0.04,0,0.06,0.52,0,0.03,0.35
Carlsbad High,87,Carlsbad Unified,Carlsbad,92008,San Diego County,No,No,No,No,2342,92,25.4,0.24,0.01,0,0.05,0.31,0,0.06,0.56
San Lorenzo Valley High,87,San Lorenzo Valley Unified,Felton,95018,Santa Cruz County,No,No,No,No,737,32,23,0.22,0.01,0,0.02,0.14,0,0.1,0.74
San Clemente High,86.9,Capistrano Unified,San Clemente,92673,Orange County,No,No,No,No,3012,116.7,25.7,0.26,0.01,0,0.03,0.26,0,0.07,0.63
Clovis High,86.9,Clovis Unified,Clovis,93611,Fresno County,No,No,No,No,2848,129.5,21.9,0.49,0.03,0.01,0.11,0.41,0,0.02,0.42
Petaluma High,86.9,Petaluma Joint Union High,Petaluma,94952,Sonoma County,No,No,No,No,1371,61.1,22.4,0.25,0.01,0.01,0.02,0.27,0.01,0.03,0.66
Esperanza High,86.8,Placentia-Yorba Linda Unified,Anaheim,92807,Orange County,No,No,Yes,No,1580,67.6,23.3,0.24,0.02,0,0.12,0.32,0,0.03,0.51
Arcata High,86.6,Northern Humboldt Union High,Arcata,95521,Humboldt County,Yes,No,No,No,945,43.9,21.5,0.36,0.01,0.03,0.02,0.14,0,0.11,0.68
La Quinta High,86.6,Garden Grove Unified,Westminster,92683,Orange County,Yes,No,No,No,2133,85,25,0.62,0,0,0.81,0.14,0,0.02,0.03
Irvine High,86.5,Irvine Unified,Irvine,92604,Orange County,No,No,No,No,1991,78,25.5,0.24,0.03,0,0.53,0.14,0,0.05,0.26
CORE Charter,86.4,CORE Charter District,Marysville,95901,Yuba County,Yes,Yes,No,No,433,17.4,24.7,0.52,0.01,0.02,0.01,0.19,0.01,0.12,0.65
Mission Viejo High,86.4,Saddleback Valley Unified,Mission Viejo,92691,Orange County,No,No,Yes,No,2133,86.3,24.7,0.23,0.02,0,0.09,0.29,0,0.07,0.54
Oakland Charter High,86.4,Oakland Charter High District,Oakland,94601,Alameda County,Yes,Yes,No,No,459,,,0.83,0.04,0,0.37,0.51,0,0.08,0
Da Vinci Science,86.3,Da Vinci Science District,El Segundo,90245,Los Angeles County,Yes,Yes,No,No,567,26.7,21.1,0.37,0.07,0,0.08,0.59,0,0.1,0.16
Stockton Collegiate International Secondary,86.3,Stockton Collegiate International Secondary District,Stockton,95202,San Joaquin County,Yes,Yes,No,No,515,22,23.4,0.47,0.07,0.01,0.13,0.59,0.01,0.1,0.1
Chino Hills High,86.3,Chino Valley Unified,Chino Hills,91709,San Bernardino County,No,No,No,No,2774,102.8,26.9,0.29,0.06,0,0.25,0.41,0,0.04,0.24
Redondo Union High,86.3,Redondo Beach Unified,Redondo Beach,90277,Los Angeles County,No,No,No,No,3040,117.9,25.7,0.18,0.05,0,0.09,0.24,0.01,0.15,0.46
Wallenberg (Raoul) Traditional High,86.3,San Francisco Unified,San Francisco,94115,San Francisco County,No,No,No,No,626,24.8,25.2,0.52,0.09,0.01,0.53,0.16,0.01,0.08,0.13
Buckingham Collegiate Charter Academy,86.2,Vacaville Unified,Vacaville,95687,Solano County,No,Yes,Yes,No,500,27.9,17.9,0.2,0.1,0.01,0.07,0.21,0,0.11,0.5
Franklin High,86.2,Elk Grove Unified,Elk Grove,95757,Sacramento County,No,No,No,No,2656,113.4,23.4,0.35,0.12,0,0.4,0.21,0.01,0.09,0.17
Hillsdale High,86.2,San Mateo Union High,San Mateo,94403,San Mateo County,Yes,No,No,No,1569,84.1,18.6,0.22,0.01,0,0.2,0.33,0.01,0.38,0.07
Ann Sobrato High,86.2,Morgan Hill Unified,Morgan Hill,95037,Santa Clara County,No,No,No,No,1408,58.5,24,0.3,0.02,0.01,0.19,0.38,0,0.05,0.35
Bret Harte Union High,86.1,Bret Harte Union High,Angels Camp,95221,Calaveras County,Yes,No,No,No,607,34.7,17.4,0.37,0,0.02,0.02,0.2,0,0.06,0.7
Colfax High,86.1,Placer Union High,Colfax,95713,Placer County,No,No,No,No,581,25.5,22.7,0.26,0.01,0,0.01,0.09,0,0.08,0.8
Design Technical High,86.1,Design Technical High District,Redwood City,94065,San Mateo County,(n/a),Yes,No,No,555,18.4,30.1,0.11,0,0,0.23,0.13,0.01,0.14,0.5
Prospect High,86,Campbell Union High,Saratoga,95070,Santa Clara County,Yes,No,No,No,1555,62,25,0.28,0.04,0.01,0.26,0.36,0.01,0.07,0.27
Foothill High,85.9,Shasta Union High,Palo Cedro,96073,Shasta County,Yes,No,No,No,1403,55.6,25.2,0.26,0.01,0.03,0.02,0.09,0,0.06,0.79
School for Entrepreneurship and Technology,85.7,School for Entrepreneurship and Technology District,San Diego,92123,San Diego County,Yes,Yes,No,No,191,10.2,18.6,0.33,0.06,0,0.03,0.33,0,0.12,0.47
Marysville Charter Academy for the Arts,85.7,Marysville Joint Unified,Marysville,95901,Yuba County,Yes,Yes,No,No,400,20.6,19.4,0.57,0.02,0.01,0.05,0.38,0.01,0.11,0.44
Hart-Ransom Academic Charter,85.6,Hart-Ransom Union Elementary,Modesto,95358,Stanislaus County,No,Yes,No,Yes,360,15.2,23.6,0.21,0.03,0.02,0.08,0.28,0,0.03,0.56
Capistrano Valley High,85.6,Capistrano Unified,Mission Viejo,92692,Orange County,No,No,No,No,2083,83.5,24.9,0.28,0.01,0,0.08,0.31,0,0.07,0.52
Vista Murrieta High,85.4,Murrieta Valley Unified,Murrieta,92563,Riverside County,No,No,No,No,3554,133.1,26.7,0.3,0.08,0,0.12,0.36,0.01,0.08,0.36
Bear River High,85.4,Nevada Joint Union High,Grass Valley,95949,Nevada County,No,No,No,No,615,29,21.1,0.25,0,0.02,0.01,0.1,0.01,0.04,0.83
Urban Discovery Academy Charter,85.4,Urban Discovery Academy Charter District,San Diego,92101,San Diego County,Yes,Yes,No,No,578,23,25.1,0.37,0.07,0,0.04,0.46,0,0.1,0.33
California School of the Arts - San Gabriel Valley,85.2,California School of the Arts - San Gabriel Valley District,Duarte,91010,Los Angeles County,Yes,Yes,No,No,739,30,24.6,0.22,0.03,0,0.13,0.42,0,0.18,0.23
San Marcos High,85.2,San Marcos Unified,San Marcos,92078,San Diego County,No,No,No,No,3439,,,0.32,0.03,0.01,0.11,0.39,0.01,0,0.46
Leland High,85.2,San Jose Unified,San Jose,95120,Santa Clara County,No,No,No,No,1917,74.5,25.7,0.1,0.01,0,0.48,0.1,0,0.03,0.38
Citrus Valley High,85.1,Redlands Unified,Redlands,92374,San Bernardino County,No,No,No,No,2089,82.8,25.2,0.54,0.07,0.01,0.1,0.54,0,0.05,0.24
Rancho Cucamonga High,85.1,Chaffey Joint Union High,Rancho Cucamonga,91701,San Bernardino County,No,No,No,No,3434,138.7,24.7,0.41,0.13,0,0.14,0.45,0.01,0.05,0.22
Cypress Charter High,85.1,Live Oak Elementary,Santa Cruz,95062,Santa Cruz County,No,Yes,No,No,119,7.5,15.8,0.38,0.03,0.02,0.01,0.21,0,0.07,0.67
La Costa Canyon High,85,San Dieguito Union High,Encinitas,92009,San Diego County,No,No,No,No,1947,83.4,23.3,0.12,0.01,0,0.04,0.16,0,0.04,0.75
Dos Pueblos Senior High,85,Santa Barbara Unified,Goleta,93117,Santa Barbara County,Yes,No,No,No,1988,86.5,22.9,0.36,0.02,0.01,0.08,0.46,0,0.03,0.42
PUC Lakeview Charter High,85,PUC Lakeview Charter High District,Sylmar,91342,Los Angeles County,Yes,Yes,No,No,457,23.1,19.7,0.8,0,0,0.02,0.96,0,0.01,0.01
Alliance Leichtman-Levine Family Foundation Env Sci High,85,Alliance Leichtman-Levine FAM Foundation Env Sci High Distr,Los Angeles,90065,Los Angeles County,Yes,Yes,No,No,496,25.5,19.4,0.87,0,0,0.05,0.9,0,0.02,0.02
John F. Kennedy High,84.7,Anaheim Union High,La Palma,90623,Orange County,No,No,No,No,2435,92,26.4,0.49,0.04,0,0.34,0.42,0.01,0.04,0.16
Trabuco Hills High,84.6,Saddleback Valley Unified,Mission Viejo,92691,Orange County,No,No,Yes,No,2821,109.4,25.7,0.18,0.01,0,0.13,0.25,0,0.08,0.52
Alliance Dr. Olga Mohan High,84.6,Alliance Dr. Olga Mohan High District,Los Angeles,90015,Los Angeles County,Yes,Yes,No,No,453,26,17.4,0.91,0,0,0.01,0.95,0,0.03,0
Thousand Oaks High,84.5,Conejo Valley Unified,Thousand Oaks,91360,Ventura County,No,No,No,No,2091,86.7,24,0.25,0.01,0.01,0.06,0.31,0,0.05,0.56
Connecting Waters Charter - East Bay,84.4,Connecting Waters Charter - East Bay District,Union City,94587,Alameda County,(n/a),Yes,No,No,314,37.8,8.3,0.13,0.03,0.01,0.26,0.12,0.01,0.19,0.39
Pescadero High,84.4,La Honda-Pescadero Unified,Pescadero,94060,San Mateo County,No,No,No,No,88,8.4,10.3,0.53,0,0,0,0.69,0,0.03,0.27
Burbank Unified Independent Learning Academy (BUILA),84.4,Burbank Unified,Burbank,91505,Los Angeles County,No,No,No,No,86,2.2,39,0.27,0.01,0,0.07,0.21,0,0.12,0.59
Mountain House High,84.2,Lammersville Joint Unified,Mountain House,95391,San Joaquin County,No,No,No,No,1348,65.1,20.6,0.2,0.08,0,0.47,0.18,0.01,0.06,0.2
Point Loma High,84.2,San Diego Unified,San Diego,92106,San Diego County,No,No,No,No,1907,77.2,24.6,0.35,0.03,0,0.03,0.37,0.01,0.07,0.5
Redlands East Valley High,84.2,Redlands Unified,Redlands,92374,San Bernardino County,No,No,No,No,2099,86.8,24.1,0.52,0.07,0,0.06,0.5,0,0.04,0.33
Martin Luther King Junior High,84.1,Riverside Unified,Riverside,92508,Riverside County,No,No,No,No,3071,119.6,25.6,0.34,0.08,0,0.11,0.36,0,0.06,0.38
Magnolia Science Academy 5,83.8,Magnolia Science Academy 5 District,Reseda,91335,Los Angeles County,Yes,Yes,No,No,248,12.1,20.4,0.84,0.02,0,0.05,0.88,0,0,0.05
Newport Harbor High,83.7,Newport-Mesa Unified,Newport Beach,92663,Orange County,No,No,No,No,2381,85.6,27.7,0.34,0.01,0,0.04,0.33,0,0.02,0.6
Lemoore Middle College High,83.7,Lemoore Middle College High District,Lemoore,93245,Kings County,(n/a),Yes,No,No,236,13.9,16.8,0.28,0.06,0.01,0.1,0.47,0,0.03,0.33
Berkeley High,83.7,Berkeley Unified,Berkeley,94704,Alameda County,No,No,No,No,3154,162.3,19.4,0.26,0.14,0,0.09,0.22,0,0.13,0.42
Torrance High,83.7,Torrance Unified,Torrance,90501,Los Angeles County,No,No,No,No,1959,81.4,24,0.34,0.04,0,0.32,0.41,0.01,0.07,0.15
Templeton High,83.6,Templeton Unified,Templeton,93465,San Luis Obispo County,No,No,No,No,734,33.9,21.6,0.15,0.01,0,0.01,0.21,0,0.07,0.69
L.A. County High School for the Arts,83.5,Los Angeles County Office of Education,Los Angeles,90032,Los Angeles County,No,No,No,No,542,80.7,6.7,0.18,0.1,0,0.13,0.25,0,0.17,0.35
Malibu High,83.5,Santa Monica-Malibu Unified,Malibu,90265,Los Angeles County,No,No,No,No,948,54.1,17.4,0.12,0.02,0,0.03,0.14,0,0.06,0.76
Northwood High,83.4,Irvine Unified,Irvine,92620,Orange County,No,No,No,No,2195,82.4,26.6,0.16,0.02,0,0.59,0.08,0,0.05,0.26
Valencia High,83.4,Placentia-Yorba Linda Unified,Placentia,92870,Orange County,No,No,Yes,No,2724,109.6,24.8,0.58,0.01,0,0.22,0.61,0,0.01,0.14
San Dimas High,83.4,Bonita Unified,San Dimas,91773,Los Angeles County,No,No,No,No,1335,57.4,23.2,0.37,0.04,0,0.08,0.53,0,0.07,0.26
Kearny Digital Media & Design,83.4,San Diego Unified,San Diego,92111,San Diego County,Yes,No,Yes,No,384,15,25.5,0.74,0.1,0.01,0.14,0.53,0.01,0.1,0.12
California Preparatory Academy,83.3,Capistrano Unified,San Juan Capistrano,92675,Orange County,No,No,No,Yes,160,6,26.6,0.14,0.03,0,0.04,0.14,0.01,0.06,0.73
Homestead High,83.3,Fremont Union High,Cupertino,95014,Santa Clara County,(n/a),No,No,No,2425,101.6,23.8,0.15,0.01,0,0.45,0.16,0,0.09,0.3
Soquel High,83.3,Santa Cruz City High,Soquel,95073,Santa Cruz County,No,No,No,No,1173,44.3,26.4,0.31,0,0,0.03,0.36,0,0.08,0.53
PUC Community Charter Mid and PUC Community Charter Early College High,83.2,PUC Community Charter Mid & PUC Community Charter Early Col,Lake View Terrace,91342,Los Angeles County,Yes,Yes,No,No,788,41.1,19.1,0.73,0.03,0,0.02,0.93,0,0.02,0.01
